id,address,wall_thickness,town_id
f7983b2a-1785-4292-8ef9-6b20ac5fea2e,Marata 1,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
44af99f8-f39d-414f-8073-56654028c1db,Marata 2,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
4a94a2f9-151f-4f4d-9be3-c7414795b962,Marata 3,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
bd80ab57-5d2d-405b-b3a7-bedb500bbb75,Marata 4,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
4631365e-5d41-4a7f-8438-baf5963a40af,Marata 5,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
b6da77e0-a2ca-4c45-ad8f-2dcda830162b,Marata 6,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
676dab05-ccb9-4954-9317-4878219db4fb,Marata 7,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
486d99b7-ca82-44dd-ab7d-13cba43bd1fe,Marata 8,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
42cc4626-42da-40a2-b2db-7fca5af5c22a,Marata 9,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
30a52626-8af1-4d7b-bdb8-613024ab6bc4,Marata 10,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
4b053c22-d7a9-482a-b963-2a05d2e77183,Marata 11,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
ee578e87-7359-4e81-9fc3-6ce746ba1828,Marata 12,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
d2ccb560-9bb6-4f01-8178-1d3b06d5aa23,Marata 13,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
b2b79d30-51e5-46f1-9ce0-dd1e148f5e4f,Marata 14,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
a393ab51-bb60-4a86-ad20-0bb41987a293,Marata 15,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
a17e465e-6d6a-46f2-80d9-50a92740200a,Marata 16,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
ffb37be4-caf9-4406-b0d0-821d26f10655,Marata 17,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
c89988bc-1729-4377-b371-141d7dcda1b2,Marata 18,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
34981326-117d-4ea0-8c74-742bdb6c58d2,Marata 19,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
b81d94a2-ba5c-4fc2-86e7-5f5150848776,Marata 20,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
428abae4-b0a0-4bf4-867c-6fadbccdc51c,Marata 21,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
25a34d3d-ef03-4be0-963a-d9374e2e8927,Marata 22,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
fba45834-43db-4423-acf0-66a9ca1b9e1a,Marata 23,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
e097175c-28e8-40e5-87a4-f40898ed979e,Marata 24,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
9d5663fc-521a-48aa-896f-47100b792080,Marata 25,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
916c51da-6b18-44e7-ac78-864272364b45,Marata 26,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
ead83ae0-f090-4a02-a990-508b55b03295,Marata 27,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
80014ba0-221c-4420-939e-88d387e3bde9,Marata 28,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
f6a62faa-d7b9-4b48-89f9-92229821c0bc,Marata 29,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
2b35bb64-99ff-4e4f-8909-849b232e07c3,Marata 30,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
1b44b7a4-1e35-4893-8d2a-83da17d9ae17,Marata 31,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
c259f7ce-4073-493f-8449-20b9fa477ede,Marata 32,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
bae08a40-94b2-4b10-97c2-faab422d25f7,Marata 33,0.5,3f8b6677-ab42-4e89-96da-c8734230e309
