id,value,communal_type,house_id
16949760-2f84-4360-970b-9406ced6ab83,0,ELECTRIC,f1724f40-9426-4f85-919b-6605bb677538
2214d32f-47d0-4fea-8c0a-1fe63cd9f177,0,ELECTRIC,e24f91ea-fbb4-4e37-b1d0-c37f2bcb2b28
1880a994-1874-4210-8a2c-c37e79c07672,0,ELECTRIC,ac0d249a-2f0f-4a65-b673-a26f7f972e57
7439c9f4-e6d2-4098-94e3-840396033920,0,ELECTRIC,12b389e1-7582-4567-8565-ae8afcd7caa1
cec895cf-073e-4db2-8c44-2bfc32b00f51,0,ELECTRIC,6e439648-fddd-46cb-bcd1-89160d18bd7b
e1e88ce9-9511-4820-bf8a-3ff0f49af80e,0,ELECTRIC,027922e7-a041-4512-9fb0-7fe4781315f0
99042055-a663-4486-a4fc-f1588b1d1574,0,ELECTRIC,ada225ad-24f1-4c5d-b3f7-bb706a3b78e4
29a48d6d-74d0-499c-8223-5b33b3fd7ba8,0,ELECTRIC,d0a49fe0-f17e-4f24-a46f-df43f73ab188
e01e4d6c-22c3-4a8e-b04b-9eea02a7bc31,0,ELECTRIC,c99a9499-c59d-4790-be31-ed0a8515712e
c2bbaf6e-1965-4e41-838b-bf38114540e8,0,ELECTRIC,b60a6991-26a0-4980-9daa-997a9083d964
0a292d88-03ac-4cb9-9530-3b8d9f18100c,0,ELECTRIC,6c2fd679-4b97-4a0d-975c-d359bb5c8724
7f5e4a91-5bde-40d0-aa9f-b5486bf12b62,0,ELECTRIC,57ac36f1-7d92-4529-9d01-33e9b216bc26
fcd21bc2-deeb-4f0d-8fde-0e111a907c1d,0,ELECTRIC,76df9875-6910-41f1-80bd-45c7aeba5e9b
47cbdf7c-82a2-439d-a093-f3f3c1f45393,0,ELECTRIC,929f5e41-0c35-4212-8ea1-56bf54f98fe9
272da197-a332-4824-aaea-226cc361970c,0,ELECTRIC,ef12727c-86af-441e-80e6-78fdb109089c
1ae1a23a-d31a-4bd9-9468-b3980353788d,0,ELECTRIC,87eeb0b0-10de-4aa6-939f-2cb25169c78e
60fcf403-88e9-417d-b2bc-bbf178e6c1d7,0,ELECTRIC,09fc8692-3845-4344-8b7b-8fdeec456360
5c6a487a-c551-4aa9-bd10-f11af9fd4f09,0,ELECTRIC,514d75ae-122d-4bb0-bd54-51df209f5ead
f01968e3-11ac-45a6-9bea-512e557a1a05,0,ELECTRIC,e7369647-e728-4318-b99a-ba5b2a2d762d
2394d697-e21e-43c2-a075-0159e686c385,0,ELECTRIC,ef8b70d2-1e11-4709-9c0a-4dafa1b39c91
16418bfb-db52-427b-a034-713d387bef29,0,ELECTRIC,f7983b2a-1785-4292-8ef9-6b20ac5fea2e
8b9d12f9-6b95-4a61-9ea5-e09780d1be1b,0,ELECTRIC,44af99f8-f39d-414f-8073-56654028c1db
a4dd69d6-aff5-4be5-bbbe-01120893bf52,0,ELECTRIC,4a94a2f9-151f-4f4d-9be3-c7414795b962
c1ad31a5-57eb-4881-b45b-da5c07a2ffd1,0,ELECTRIC,bd80ab57-5d2d-405b-b3a7-bedb500bbb75
8446884e-dc13-40ec-9d3d-819a07446657,0,ELECTRIC,4631365e-5d41-4a7f-8438-baf5963a40af
1979d719-497d-43a2-a35b-62fdfcd03c63,0,ELECTRIC,b6da77e0-a2ca-4c45-ad8f-2dcda830162b
3b53abd2-b386-4dc5-8cca-01691756bdde,0,ELECTRIC,676dab05-ccb9-4954-9317-4878219db4fb
81dfa31d-f16d-432b-aca1-02381550e334,0,ELECTRIC,486d99b7-ca82-44dd-ab7d-13cba43bd1fe
dbdd6bba-9c67-4353-9f4e-ba19c2cb7baa,0,ELECTRIC,42cc4626-42da-40a2-b2db-7fca5af5c22a
7e1d528b-850b-4fdb-a49c-6161d874c565,0,ELECTRIC,30a52626-8af1-4d7b-bdb8-613024ab6bc4
7f1f1ed5-49d8-4d89-b610-6ac976b97ebe,0,ELECTRIC,4b053c22-d7a9-482a-b963-2a05d2e77183
ef28966a-bf42-4fa3-a29e-efd41daf79f7,0,ELECTRIC,ee578e87-7359-4e81-9fc3-6ce746ba1828
0f49a268-b4f8-4366-9a9d-cf56c56cdd1a,0,ELECTRIC,d2ccb560-9bb6-4f01-8178-1d3b06d5aa23
650d0363-a0db-44fe-9b34-44ed7371d0a1,0,ELECTRIC,b2b79d30-51e5-46f1-9ce0-dd1e148f5e4f
3faf1d2a-8d32-4c25-b45c-c6cd2d679757,0,ELECTRIC,a393ab51-bb60-4a86-ad20-0bb41987a293
b31f255b-73c0-477a-9f38-1372ce00179d,0,ELECTRIC,a17e465e-6d6a-46f2-80d9-50a92740200a
de323c04-db9f-485b-8779-09c683db5353,0,ELECTRIC,ffb37be4-caf9-4406-b0d0-821d26f10655
40ceebbf-03c7-45c7-a3df-73f4c3bfe81e,0,ELECTRIC,c89988bc-1729-4377-b371-141d7dcda1b2
4e8af1eb-08f5-445c-9971-e81540e35e22,0,ELECTRIC,34981326-117d-4ea0-8c74-742bdb6c58d2
4096a9e0-719a-44fa-a488-852d10b01472,0,ELECTRIC,b81d94a2-ba5c-4fc2-86e7-5f5150848776
